temp,result
11.3,gemiddelde
10.8,gemiddelde
8.2,frisse
9.2,frisse
9.4,frisse
10.7,gemiddelde
14.7,gemiddelde
14.6,gemiddelde
18.1,gemiddelde
11.6,gemiddelde
14.1,gemiddelde
13,gemiddelde
13.4,gemiddelde
15.5,gemiddelde
13.2,gemiddelde
15.6,gemiddelde
15.9,gemiddelde
11.8,gemiddelde
12.2,gemiddelde
12.2,gemiddelde
14.4,gemiddelde
13.6,gemiddelde
12.1,gemiddelde
9.4,frisse
11.1,gemiddelde
12.9,gemiddelde
16.2,gemiddelde
15.7,gemiddelde
13.2,gemiddelde
14.5,gemiddelde
14,gemiddelde
11.9,gemiddelde
13.2,gemiddelde
15.6,gemiddelde
14.7,gemiddelde
16.2,gemiddelde
14.6,gemiddelde
15.2,gemiddelde
15.5,gemiddelde
14.4,gemiddelde
15.1,gemiddelde
11.1,gemiddelde
13.9,gemiddelde
14.8,gemiddelde
11.7,gemiddelde
11.8,gemiddelde
11.5,gemiddelde
12.2,gemiddelde
13.3,gemiddelde
12.3,gemiddelde
14.7,gemiddelde
22.1,warme
23.7,warme
16.4,gemiddelde
17.5,gemiddelde
20.6,warme
18.2,gemiddelde
18.9,gemiddelde
23.3,warme
24.5,warme
17.1,gemiddelde
16.1,gemiddelde
17.3,gemiddelde
16.4,gemiddelde
17.3,gemiddelde
15.7,gemiddelde
14.4,gemiddelde
14.5,gemiddelde
15.8,gemiddelde
18.1,gemiddelde
19.5,gemiddelde
23.1,warme
22.7,warme
28.5,zomers
26.2,zomers
20.5,warme
18,gemiddelde
20.9,warme
18.1,gemiddelde
17.2,gemiddelde
17.6,gemiddelde
18.6,gemiddelde
17.1,gemiddelde
17.8,gemiddelde
18.9,gemiddelde
21.3,warme
25.4,zomers
27.1,zomers
25.2,zomers
25.4,zomers
21.6,warme
25.9,zomers
29.1,zomers
24,warme
18.7,gemiddelde
18.7,gemiddelde
24.2,warme
21.9,warme
29.2,zomers
20,warme
19.2,gemiddelde
17.6,gemiddelde
19.1,gemiddelde
22.9,warme
26.3,zomers
22.9,warme
24.8,warme
25.7,zomers
21.3,warme
20.6,warme
21.5,warme
20.6,warme
28,zomers
23.1,warme
18.3,gemiddelde
19.6,gemiddelde
20.5,warme
20,warme
18.3,gemiddelde
21.5,warme
24.7,warme
22.6,warme
20.1,warme
20.1,warme
19.8,gemiddelde
18.9,gemiddelde
19.8,gemiddelde
23.5,warme
22,warme
19.2,gemiddelde
22.1,warme
24.7,warme
25.8,zomers
25.4,zomers
23.7,warme
23.1,warme
21.8,warme
21.9,warme
21.3,warme
19.9,gemiddelde
18.3,gemiddelde
19,gemiddelde
20.3,warme
24.5,warme
21.3,warme
22,warme
17.8,gemiddelde
18.8,gemiddelde
17.5,gemiddelde
17,gemiddelde
16.2,gemiddelde
19.6,gemiddelde
18.8,gemiddelde
19.4,gemiddelde
15,gemiddelde
16.9,gemiddelde
15.6,gemiddelde
18.8,gemiddelde
18.9,gemiddelde
15.8,gemiddelde
17.3,gemiddelde
16,gemiddelde
17.5,gemiddelde
17,gemiddelde
18.8,gemiddelde
16.4,gemiddelde
19.1,gemiddelde
20,warme
15.9,gemiddelde
19.4,gemiddelde
18.7,gemiddelde
16.4,gemiddelde
21,warme
16.2,gemiddelde
15.2,gemiddelde
18.1,gemiddelde
17.9,gemiddelde
24.9,warme
17.9,gemiddelde
17.3,gemiddelde
17.6,gemiddelde
15.1,gemiddelde
15.8,gemiddelde
16.3,gemiddelde
14.6,gemiddelde
15.9,gemiddelde
18.2,gemiddelde
15.9,gemiddelde
15.3,gemiddelde
14.2,gemiddelde
13.2,gemiddelde
16.2,gemiddelde
15.7,gemiddelde
13.4,gemiddelde
12.5,gemiddelde
12.5,gemiddelde
12.8,gemiddelde
12.3,gemiddelde
13.2,gemiddelde
14,gemiddelde
15.3,gemiddelde
12.9,gemiddelde
10.9,gemiddelde
12.8,gemiddelde
13.3,gemiddelde
14.5,gemiddelde
14.2,gemiddelde
13,gemiddelde
13.7,gemiddelde
13.6,gemiddelde
13.3,gemiddelde
14.3,gemiddelde
15.2,gemiddelde
15.5,gemiddelde
12,gemiddelde
10.4,gemiddelde
7,frisse
5.4,frisse
4.2,koude
10.7,gemiddelde
10.8,gemiddelde
9.1,frisse
9.8,frisse
9.8,frisse
10.3,gemiddelde
7.3,frisse
7.9,frisse
9.5,frisse
4.9,koude
13,gemiddelde
13.2,gemiddelde
14.6,gemiddelde
10.2,gemiddelde
10,frisse
8.3,frisse
2.7,koude
1.7,koude
3.9,koude
9.4,frisse
10.4,gemiddelde
8.6,frisse
7.9,frisse
9,frisse
8.5,frisse
7.8,frisse
5.4,frisse
1.3,koude
6.7,frisse
2.4,koude
5,frisse
3,koude
5.1,frisse
5.4,frisse
7.6,frisse
9.5,frisse
8.9,frisse
9.5,frisse
10.2,gemiddelde
11.4,gemiddelde
10.7,gemiddelde
9.9,frisse
10.8,gemiddelde
10.7,gemiddelde
9.7,frisse
10.2,gemiddelde
9.3,frisse
10.6,gemiddelde
10.5,gemiddelde
10.5,gemiddelde
8.4,frisse
8.4,frisse
8.3,frisse
8.9,frisse
8.3,frisse
6.7,frisse
8.1,frisse
9.2,frisse
8.5,frisse
11.5,gemiddelde
10.3,gemiddelde
6.4,frisse
10.6,gemiddelde
9.4,frisse
6.8,frisse
7,frisse
6.1,frisse
3.6,koude
1,koude
1.4,koude
4.8,koude
4.6,koude
3.5,koude
4.9,koude
6.1,frisse
6.4,frisse
7.6,frisse
7,frisse
5.3,frisse
7.6,frisse
9.5,frisse
9.6,frisse
9.6,frisse
9.2,frisse
7.4,frisse
7.4,frisse
8,frisse
8,frisse
